tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,time
0,640,earthquake,6.4, Japan,143.445,41.824,29.0,2009-06-05,03:30:33.060000+00:00
0,554,earthquake,6.0,northern Mid-Atlantic Ridge,-46.105,23.864,14.0,2009-06-06,20:33:28.830000+00:00
0,561,earthquake,6.0, Vanuatu,167.812,-17.611,15.0,2009-06-12,09:44:15.060000+00:00
0,575,earthquake,6.1, Philippines,126.438,5.361,35.0,2009-06-14,05:58:43.270000+00:00
0,572,earthquake,6.1,Bouvet Island region,5.871,-54.366,10.0,2009-06-16,20:05:56.990000+00:00
0,693,earthquake,6.7, Papua New Guinea,153.782,-5.157,64.0,2009-06-23,14:19:22.350000+00:00
0,678,earthquake,6.4, Greece,25.471,34.164,19.0,2009-07-01,09:30:10.410000+00:00
0,562,earthquake,6.0, Mexico,-109.754,25.131,10.0,2009-07-03,11:00:14.630000+00:00
0,1292,earthquake,6.1, Panama,-78.966,9.59,38.0,2009-07-04,06:49:35.510000+00:00
0,572,earthquake,6.1, Aleutian Islands,176.992,50.435,22.0,2009-07-06,14:53:12.240000+00:00
0,572,earthquake,6.1,Baffin Bay,-72.453,75.351,19.0,2009-07-07,19:11:46.710000+00:00
0,554,earthquake,6.0,southeast of Easter Island,-102.686,-36.004,12.0,2009-07-08,19:23:37.730000+00:00
0,607,earthquake,6.1, Peru,-70.445,-15.041,198.9,2009-07-12,06:12:47.330000+00:00
0,707,earthquake,6.3, Taiwan,122.201,24.056,17.0,2009-07-13,18:05:01.420000+00:00
0,1165,earthquake,7.8, New Zealand,166.562,-45.762,12.0,2009-07-15,09:22:29.030000+00:00
0,572,earthquake,6.1, Papua New Guinea,150.506,-3.375,13.4,2009-07-15,20:10:42.660000+00:00
0,572,earthquake,6.1,southern East Pacific Rise,-124.296,-56.234,10.0,2009-08-01,13:33:29.950000+00:00
0,572,earthquake,6.1, Indonesia,132.908,-0.447,20.0,2009-08-02,08:54:33.360000+00:00
0,1202,earthquake,6.9, Mexico,-112.903,29.039,10.0,2009-08-03,17:59:56.170000+00:00
0,591,earthquake,6.2, Mexico,-113.728,29.31,10.0,2009-08-03,18:40:50.100000+00:00
0,574,earthquake,6.1, Japan,125.095,24.233,25.0,2009-08-05,00:17:58.820000+00:00
0,581,earthquake,6.1, New Zealand,166.356,-45.554,10.0,2009-08-05,08:31:40.480000+00:00
0,1005,earthquake,7.1, Japan,137.944,33.167,292.0,2009-08-09,10:55:55.110000+00:00
